full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"This Clip of Louis C.K. on the Daily Show Is Particularly Chilling in Light of the Accusations Against Him -  
  ... https://t.co/ac6u9OFhbU",Not Trump's America,0.800000011921,0.300000011921,2017-11-19 02:11:31,UniReEditor
"This Clip of Louis C.K. on the Daily Show Is Particularly Chilling in Light of the Accusations Against Him -  
  ... https://t.co/lQmpIPX7X0",Not Trump's America,0.800000011921,0.300000011921,2017-11-19 02:11:31,UniReEditor
"Mike Schur on Louis C.K.: ""I honestly don't remember when I first heard the rumors, but I knew for a fact that I heard them before the last time he came on the show"" https://t.co/Hue5JfRcCG","The World, The Universe",0.0,0.0,2017-11-19 02:09:16,leebee4life
"""Louis C.K., Harvey Weinstein, and many other men alleged to be abusers have something else in common: They were great at seeming to be good."" 

Bijak, membumi, and ""baeeq banget."" https://t.co/gb31J1JtuU","Tilburg, Netherlands",0.600000023842,0.10000000149,2017-11-19 02:03:52,dhiratara
"Sarah Silverman said she's grappling with whether she can still be friends with Louis C.K. after he confessed to sexual misconduct. 

If one of your best friends admitted to doing what Louis C.K. did, would you remain friends with him? Vote: https://t.co/sv4KwvCTne","Alabama, USA",2.0,0.20000000298,2017-11-19 02:03:24,EllenAu69195476
"Mike Schur on Louis C.K.: ""I honestly don't remember when I first heard the rumors, but I knew for a fact that I heard them before the last time he came on the show"" https://t.co/Hue5JfRcCG","Rochester, NY, USA",0.0,0.0,2017-11-19 02:03:19,JimPolk
"Mike Schur on Louis C.K.: ""I honestly don't remember when I first heard the rumors, but I knew for a fact that I heard them before the last time he came on the show"" https://t.co/Hue5JfRcCG","Santa Clara, CA",0.0,0.0,2017-11-19 02:03:14,sanjit66
"""Louis C.K., Harvey Weinstein, and many other men alleged to be abusers have something else in common: They were great at seeming to be good."" 

Bijak, membumi, and ""baeeq banget."" https://t.co/gb31J1JtuU","Jakarta Capital Region, Indonesia",0.600000023842,0.10000000149,2017-11-19 02:02:12,dearsilvi
Sarah Silverman responds to Louis C.K. https://t.co/WI7LVqaWnJ https://t.co/jtDJvq8ITQ,UrMind,0.20000000298,0.0,2017-11-19 02:02:05,wildCANNE
"Mike Schur on Louis C.K.: ""I honestly don't remember when I first heard the rumors, but I knew for a fact that I heard them before the last time he came on the show"" https://t.co/Hue5JfRcCG","Hollywood, CA",0.0,0.0,2017-11-19 02:00:05,THR
