full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"Sarah Silverman speaks out on Louis C.K.: ""I love Louis, but Louis did these things"" https://t.co/LfmwdhxuZJ",Brooklyn NYC,0.300000011921,0.300000011921,2017-11-17 01:13:10,seterapia
"Sarah Silverman speaks out on Louis C.K.: ""I love Louis, but Louis did these things"" https://t.co/LfmwdhxuZJ","Tokyo,Japan",0.300000011921,0.300000011921,2017-11-17 01:13:05,solovelyJune
"Sarah Silverman on Louis C.K. sexual misconduct: ""I love Louis, but he did these things"" https://t.co/U2AXUagA1V https://t.co/jx9HVe9ThA",Hawaii | California,0.0,0.0,2017-11-17 01:12:07,justrxy
"Why Louis C.K.’s “I Love You, Daddy” Should Never Have Been Distributed in the First Place https://t.co/zB9KUFp0Z9","Melbourne, Australia ",0.0,0.0,2017-11-17 01:11:52,danielle_binks
"Sarah Silverman speaks out on Louis C.K.: ""I love Louis, but Louis did these things"" https://t.co/LfmwdhxuZJ",unceded territory Coast Salish xʷməθk'̓wəym (Musqueam) Skwxwu'́7mesh (Squamish) Stó:lō &   Sə'li'lwətaʔ/Səlilwittulh̓ (Tsleil- Waututh),0.300000011921,0.300000011921,2017-11-17 01:11:43,Blubdha
"Sarah Silverman speaks out on Louis C.K.: ""I love Louis, but Louis did these things"" https://t.co/LfmwdhxuZJ",Rive Gauche,0.300000011921,0.300000011921,2017-11-17 01:11:41,maryann2313
"Sarah Silverman on Louis C.K. sexual misconduct: ""I love Louis, but he did these things"" https://t.co/U2AXUagA1V https://t.co/jx9HVe9ThA","Los Angeles, CA",0.0,0.0,2017-11-17 01:11:17,nerdywilliams
Louis C.K. admitted to years of sexual misconduct — but he never apologized https://t.co/aPtlcgr4DZ,"Alhambra, CA",0.800000011921,-0.300000011921,2017-11-17 01:10:57,clarissafig2
"Sarah Silverman speaks out on Louis C.K.: ""I love Louis, but Louis did these things"" https://t.co/LfmwdhxuZJ","New York, NY",0.300000011921,0.300000011921,2017-11-17 01:10:27,NYMag
"Sarah Silverman on Louis C.K.: “I believe with all my heart that this moment in time is essential, it’s vital that people are held accountable for their actions, no matter who they are."" https://t.co/gvK1X8qaeM https://t.co/my3mLDrWdu",Swachh Bharat,0.300000011921,0.10000000149,2017-11-17 01:09:50,TheDancingClone
