full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"@tak_jord @Belairviv Perhaps there is. Even so, it doesn’t make the action excusable. Actually, Louis C. K. has also admitted allegations against him are true and he has apologized.",Southern California,0.800000011921,0.0,2017-11-17 21:13:36,BeachBaby63
I'd be lying if I said Al Franken and Louis C.K. didn't totally bum me out.,"Columbus, OH",0.40000000596,-0.20000000298,2017-11-17 21:13:11,AJoeyDoyle
Sarah Silverman grapples with the allegations against her friend Louis C.K. https://t.co/ZhEN17danV https://t.co/Clt4iNutjt,"Basking Ridge, NJ",0.10000000149,0.0,2017-11-17 21:12:21,AndrewIngber
"Louis C.K. really took a hands on approach to his comedy huh?

I hear his, “do it yourself,” attitude really rubbed others the wrong way.",the Upside Down ,1.0,-0.20000000298,2017-11-17 21:11:19,QueenBbecT
"Bill's Puke Cruise, Tattoo Fail, Sarah Silverman On Louis C.K., Comedian Ryan Dalton, Xmas Marks The Spot, Jesus &amp;  https://t.co/XApdSSfMeT","Cleveland, OH",0.800000011921,-0.800000011921,2017-11-17 21:08:53,RadioCodyB
"""You need to build an ability to just be yourself and not be doing something. That’s what the phones are taking away”~ Louis C.K. https://t.co/fhzeiBMTRm",Australian Capital Territory,0.600000023842,0.0,2017-11-17 21:08:34,VelvetsProperty
"“Women’s work is individual and relational; it is about the person. Men, meanwhile, write about ideas and arguments. https://t.co/TJSGpKn7jO",NYC,0.20000000298,0.0,2017-11-17 21:08:31,lizkimtweets
"Sarah Silverman talks about Louis C.K. in the new episode of her Hulu series. ""Can you love someone who did bad things?"" https://t.co/VzOzQtMGUY",So far away from me,0.300000011921,0.0,2017-11-17 21:07:02,YourComicMuse
"Well...if Louis C.K. can whip out his ""thing thing"" in front of colleagues, i do not put it past anyone to sexually abuse anyone.  I really liked Louis! #Dateline",Atlanta,1.5,0.0,2017-11-17 21:05:50,MarciaHusband
"Beautifully measured and touching monologue from @SarahKSilverman. I'm a huge fan of Louis C.K. and it's a horrible gut-punch to hear about his abhorrent actions. The victims are, of course, the priority, however it must be tortuous to accept that a loved one crossed that line.","Cheltenham, England",2.20000004768,0.10000000149,2017-11-17 21:05:31,CuffWrites
