full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"Sarah Silverman on Louis C.K.: ""I hope it’s okay if at once I am very angry for the women he wronged and the culture that enabled it and also sad because he’s my friend.” https://t.co/gvK1X88yQc https://t.co/xfDLBq9qOL",Bombay / Baroda,0.5,-0.10000000149,2017-11-19 12:11:56,sapunintended
"Sarah Silverman on Louis C.K.: ""I hope it’s okay if at once I am very angry for the women he wronged and the culture that enabled it and also sad because he’s my friend.” https://t.co/gvK1X88yQc https://t.co/xfDLBq9qOL",Trapped in my mind.,0.5,-0.10000000149,2017-11-19 12:10:44,lantesoDRY
"@Quadrant4change @juvenalgarza @LonelyDementor I agree. Louis C K was never a person that anyone should have idolized.

I don't understand why anyone would idolize some celebrity they've never met.",State of Indignation,0.800000011921,-0.20000000298,2017-11-19 12:08:44,_Vampire_Jesus_
Someone asked Jon Stewart about the Louis C.K. allegations last year. Here's what he said: https://t.co/6wItGXvr5j via @BrowBeat,Inferno (formerly Pistoia),0.10000000149,0.0,2017-11-19 12:07:54,tsoprano8
"How can we make this about meeeee? ""Transgender actress Jen Richards is upset with the fallout of Louis C.K.'s actions after they caused her to lose a groundbreaking role on one of his planned TV shows."" https://t.co/Hl3sYHQrWS",Canada,0.800000011921,-0.10000000149,2017-11-19 12:06:15,westheart7
"Multiple female comics have accused Louis C.K. of sexual misconduct. To Sarah Silverman, he's been a close friend for more than 25 years. https://t.co/6lP6pXHOs8","Los Angeles, CA",0.800000011921,-0.20000000298,2017-11-19 12:05:27,Jeanette_Farr
Amanda Hess and Manohla Dargis on the Weinstein-Spacey-Louis C.K. affairs: Viciousness and ignorance: New York Times columnists on the rampage - World Socialist Web Site https://t.co/SCUPDPbyBr #SatudayMorning https://t.co/TWRkQHJNUa,Montréal,0.0,0.0,2017-11-19 12:05:19,JulieDby
Louis C.K. Responds to Accusations: ‘These Stories Are True’ https://t.co/zCl1LGhC8S,"Karasjok, Norge",0.20000000298,0.10000000149,2017-11-19 12:05:10,RightWingTwitt
How Louis C.K.’s Comedy Mirrors Accounts of Sexual Misconduct https://t.co/mrjc4yHQvb via @nytvideo,"Karasjok, Norge",0.10000000149,-0.10000000149,2017-11-19 12:04:47,RightWingTwitt
"@jeffjarvis In today's hyper political correctness, nothing out there defends #LouisCK, except perhaps for this 1-minute read: https://t.co/8LAvrAtl5p","Littleton, Colorado",0.600000023842,-0.600000023842,2017-11-19 12:04:10,ttwiv
