full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"At Netflix, there appears to be some sort of a bar for bad men; while they very publicly severed professional ties with comedian Louis C.K. &amp; actor Kevin Spacey, it's been reticent to address sexual assault allegations against The Ranch’s Danny Masterson. https://t.co/0okhsLdpqF","Palm Beach, FL",0.699999988079,-0.10000000149,2017-11-16 14:13:22,larry411
"What Al Franken did was wrong

What Roy Moore did was wrong

What Donald Trump did was wrong

What Bill Cosby did was wrong

What Kevin Spacey did was wrong

What Louis C.K. did was wrong

Regardless of party, race, gender, and sexuality, sexual assault/harassment is wrong.","Birmingham, AL",3.90000009537,-0.40000000596,2017-11-16 14:13:20,KelciRee
"What Al Franken did was wrong

What Roy Moore did was wrong

What Donald Trump did was wrong

What Bill Cosby did was wrong

What Kevin Spacey did was wrong

What Louis C.K. did was wrong

Regardless of party, race, gender, and sexuality, sexual assault/harassment is wrong.",Arizona,3.90000009537,-0.40000000596,2017-11-16 14:13:17,stellarmoneca
"I wrote about how late night isn’t equipped to tackle Louis C.K. because the call is coming from inside the house
https://t.co/OzNoPFNd1B",on a deadline,0.20000000298,-0.20000000298,2017-11-16 14:13:07,_miciagirl
"I wrote about how late night isn’t equipped to tackle Louis C.K. because the call is coming from inside the house
https://t.co/OzNoPFNd1B","Brooklyn, NY",0.20000000298,-0.20000000298,2017-11-16 14:12:39,smileydevil
"What Al Franken did was wrong

What Roy Moore did was wrong

What Donald Trump did was wrong

What Bill Cosby did was wrong

What Kevin Spacey did was wrong

What Louis C.K. did was wrong

Regardless of party, race, gender, and sexuality, sexual assault/harassment is wrong.","Bay Area, California",3.90000009537,-0.40000000596,2017-11-16 14:12:36,DaWaFo66
"@MikeGraySC Harvey Whinefuck, monster.
Louis C.K. monster.

Bill FUCKING Cosby is a SUPER rapist monster that we shouldn't stop talking about.","Strong Beach, CA",1.0,-0.10000000149,2017-11-16 14:12:06,ZeroCool138
"I wrote about how late night isn’t equipped to tackle Louis C.K. because the call is coming from inside the house
https://t.co/OzNoPFNd1B","Chicago, IL",0.20000000298,-0.20000000298,2017-11-16 14:12:04,angelsscream
"I owe you an apology. I missed the connection between the real incident and this “bit.” The sleeping woman fetish. 

This is fair game. You’re right. Again, my apologies. 

It’s Louis C.K. redux. https://t.co/poptTlVNk2","Florida, USA",1.70000004768,0.0,2017-11-16 14:11:37,SlickRounder
"I wrote about how late night isn’t equipped to tackle Louis C.K. because the call is coming from inside the house
https://t.co/OzNoPFNd1B",Make Gumbo or Die Trying,0.20000000298,-0.20000000298,2017-11-16 14:11:27,ReaganGomez
