full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"Modern DEMOCRAT Role models:
Harvey Weinstein 
Kevin Spacey 
Al Franken 
Louis C.K.
George Takei 
Anthony Weiner (txt pedo)
Bill Clinton (rapist)
Brett Ratner
Russell Simmons 
Jeffrey Tambor 
Roman Polanski (pedo anal rape)
Great Job progressives!",United States,0.899999976158,0.40000000596,2017-11-20 11:12:27,Abigail86502467
@ManuclearBomb Just gonna take a moment to pat myself on the back because I've never liked Louis C.K. but have stopped myself from tweeting that out on multiple occasions. ;-),Chicago,1.0,0.10000000149,2017-11-20 11:10:24,BvrlyTweetmaker
@RawStory @iWideOpen Discount Louis C.K.,"Qatar, Doha",0.10000000149,0.10000000149,2017-11-20 11:09:38,TheKhaldoon
"Modern DEMOCRAT Role models:
Harvey Weinstein 
Kevin Spacey 
Al Franken 
Louis C.K.
George Takei 
Anthony Weiner (txt pedo)
Bill Clinton (rapist)
Brett Ratner
Russell Simmons 
Jeffrey Tambor 
Roman Polanski (pedo anal rape)
Great Job progressives!",Usa,0.899999976158,0.40000000596,2017-11-20 11:09:26,maddie1776
Sarah Silverman breaks her silence on longtime friend Louis C.K. https://t.co/aSKYvu7HOH via @HuffPostEnt,venus,0.20000000298,0.0,2017-11-20 11:06:40,laMasLoca
The difference between Sarah Silverman's comments on Louis C.K. and Lena Dunham's comments on Murray Miller are worlds apart. Silverman's comments are vulnerable and nuanced. She ought to be our standard bearer. https://t.co/h5kxzlfdoH,Minneapolis,0.40000000596,0.0,2017-11-20 11:05:54,yossariansghost
"The Fans Made Louis https://t.co/uFH02KbT7l They Might Undo Him - https://t.co/XfY8wk1Iko a while there, Louis C.K. was Your Dude... https://t.co/WOdOBYFeGF","Jacksonville, Florida",0.800000011921,0.20000000298,2017-11-20 11:04:04,wokahokannawa
"Comedian's frank response to Louis C.K. allegations
https://t.co/9dYyLszG8a","Florida, USA",0.20000000298,0.10000000149,2017-11-20 10:57:34,nohumanillegal
Interesting review of Louis C.K.’s buried last movie https://t.co/85bSXZ1qox,"Ithaca, NY",0.10000000149,0.10000000149,2017-11-20 10:54:35,ajbouchie
Reminder: Louis C.K.'s apology wasn't actually an apology at all https://t.co/ACzU5JhRbW,USA,0.800000011921,-0.800000011921,2017-11-20 10:49:15,cyber_wench
