full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"I'd love to direct and star in a gender-swapped remake Louis C.K.'s clumsy thesis film, called ""I Love You, Mommy,"" made for $5,000.",New York City & Los Angeles,0.5,0.5,2017-11-15 01:07:12,jessuprionero
"I added a video to a @YouTube playlist https://t.co/tlsRSTjSFI David Edelstein on Louis C.K.'s ""I Love You, Daddy""",Orion Arm of the Milky Way,0.800000011921,0.800000011921,2017-11-15 01:06:18,CarPan423
A behavioral scientist on what makes masturbation jokes funny (to some) in the first place — and what happens when that formula falls apart https://t.co/eXubgUAnhR,"Washington, DC",0.0,0.0,2017-11-15 01:05:14,round
#believewomen RT @Jezebel: Jon Stewart claims to be stunned by the Louis C.K. allegations he's known about for some time https://t.co/g2M0TFH510 https://t.co/rlHaSKbGWw,Missouri born & raised. Former New Yorker. Currently Nashville. ,0.300000011921,0.10000000149,2017-11-15 01:04:50,bridgetteville
"""I’m tired of trying to explain why none of this is sex. Why it hurts the way violence hurts,"" writes @lizmeriwether https://t.co/Wzg8vx4t8S",San Francisco,1.20000004768,-0.600000023842,2017-11-15 01:04:39,williesband
what in the hell happened to the men in our country to lower their tolerance levels and feel this crap was okay at the time? #LouisCK #metoo https://t.co/Rl4acSCvQC #onlylove,Azerbaijan,0.899999976158,-0.300000011921,2017-11-15 01:04:37,rebbecacipolle5
WATCH: “Stunned.” Jon Stewart talks Louis C.K. scandal with @MLauer and @savannahguthrie https://t.co/fXBGz7NkEK,"Los Angeles, CA",0.20000000298,0.0,2017-11-15 01:04:32,mrdylantheking
"Jon Stewart Breaks His Silence on Louis C.K.'s Sexual Misconduct: ""You feel anger at what he did to people.” https://t.co/WSIEQIkTvP https://t.co/CaVVyNgSlT",Manhattan and Brooklyn,0.10000000149,0.0,2017-11-15 01:04:26,avishaiw
A behavioral scientist on what makes masturbation jokes funny (to some) in the first place — and what happens when that formula falls apart https://t.co/eXubgUAnhR,"New York, NY",0.0,0.0,2017-11-15 01:03:06,thescienceofus
Why Some Artists Are Never Separated From Their Work (and Why Louis C.K. Was) https://t.co/EXp4LuJg9V via @vulture,Inferno (formerly Pistoia),0.800000011921,-0.40000000596,2017-11-15 01:02:16,tsoprano8
