full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"Modern DEMOCRAT Role models:
Harvey Weinstein 
Kevin Spacey 
Al Franken 
Louis C.K.
George Takei 
Anthony Weiner (txt pedo)
Bill Clinton (rapist)
Brett Ratner
Russell Simmons 
Jeffrey Tambor 
Roman Polanski (pedo anal rape)
Great Job progressives!","New Jersey, USA",0.899999976158,0.40000000596,2017-11-19 19:14:06,SoniaO529
Louis C.K. Is Done https://t.co/6dka5OQkhE via @vulture,South Florida Coast,0.0,0.0,2017-11-19 19:13:56,Miguel12345
"""[Louis C.K.] was talking about himself and getting millions of dollars for it... fuck that dude."" — @chescaleigh #lovettorleaveit https://t.co/fOzUQNHtYV",currently in Brunei,0.5,-0.10000000149,2017-11-19 19:13:28,hazelasyraf
Comedians React to Louis C.K. Allegations https://t.co/ZMEYgft5d6 via @YouTube,Whitehouse – Sunset,0.10000000149,0.0,2017-11-19 19:13:03,rattlingCan
"You could take a shot every time Chloë Grace Moretz says “I love you, Daddy” in Louis C.K.’s movie—but that would likely result in alcohol poisoning, and also require you to watch the movie. https://t.co/ruqfkvnrrl",West Indies,0.800000011921,-0.300000011921,2017-11-19 19:10:44,ioncarib
‘Christians Against Masturbation’ Spokeswoman In Old Louis C.K. Video Now Seems Surprisingly Insightful https://t.co/CR6MK6gtki,"New York, USA",0.800000011921,0.40000000596,2017-11-19 19:10:06,gaitoulabackder
"#458 I LOVE YOU, DADDY (Louis C.K., 2017)",Chicago,0.899999976158,0.899999976158,2017-11-19 19:09:37,ap_watches
#news ‘Christians Against Masturbation’ Spokeswoman In Old Louis C.K. Video Now Seems Surprisingly Insightful https://t.co/CkzmjK4ZlS,"Alaska, USA",0.800000011921,0.40000000596,2017-11-19 19:09:08,overrunbydogs
#news ‘Christians Against Masturbation’ Spokeswoman In Old Louis C.K. Video Now Seems Surprisingly Insightful https://t.co/CkzmjK4ZlS,"Atlanta, Georgia",0.800000011921,0.40000000596,2017-11-19 19:08:29,nihongaonaga
"""We now find ourselves out of a job right before the holiday season,"" the show's art director wrote in an open letter to C.K. https://t.co/qXhwAhaoXt",Somewhere Pretty,0.10000000149,0.0,2017-11-19 19:06:58,letterstobetsy
