full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
Bill Burr Thinks Louis C.K ‘Will Definitely Be Back’ After Admitting to Sexual Misconduct: https://t.co/yEx9DFO6ts https://t.co/sFamlfGldY,"Washington, DC",0.0,0.0,2017-11-16 10:07:06,prymefocus
"I’m sorry folks, I am, but I can’t and won’t play politics around predators because of the letter by their name.

I believe Juanita. 
I believe Rose.
I believe the 5 women accusing Louis C.K.
I believe Corey.
I believe Takei’s accuser.
And I believe the women accusing Moore. https://t.co/3A69JrtCzd","Ontario, Canada",0.899999976158,0.0,2017-11-16 10:05:32,nicole_terio
"Jon Stewart addresses Louis C.K.'s controversy, hints at misconduct at NBC https://t.co/vVtydn5oVc via the @FoxNews Android app",Connecticut,0.0,0.0,2017-11-16 10:01:46,ingthree
"The movie release of Louis C.K.'s ""I Love You, Daddy"" was scrapped following allegations of sexual misconduct https://t.co/MZXyzgJPMF https://t.co/XHgEwOegx7","California, USA",0.40000000596,0.40000000596,2017-11-16 10:01:16,gm_oden
I liked a @YouTube video https://t.co/KUAZQ0Jvnl Joey Diaz on Louis C.K.,"Texas, USA",0.0,0.0,2017-11-16 10:00:32,Biggest_Mikey
"Comedian Louis C.K. apologizes after sexual misconduct allegations, saying ""These stories are true"" https://t.co/BlTW4yjB7g https://t.co/wOYtXFdBwt","California, USA",0.899999976158,-0.40000000596,2017-11-16 10:00:20,gm_oden
"FX network cuts ties with comedian Louis C.K., says ""now is not the time for him to make television shows"" https://t.co/gj6Wlf8z2Y https://t.co/L9TVLAAnjU","California, USA",0.10000000149,-0.10000000149,2017-11-16 10:00:11,gm_oden
"No, really.  Why??? https://t.co/3jzFpcbvHP via @phillyhealthsci","Philadelphia, PA",0.600000023842,-0.10000000149,2017-11-16 09:59:08,TomAvril1
"Interesting lately to see all these guys defend the ""art"" of ""flawed men"" like Woody Allen, Louis C.K. or Kevin Spacey, yet they never accepted Hillary Clinton, despite her accomplishments, because she wasn't perfect?","Chumash Land, Hollywood, CA",0.0,0.0,2017-11-16 09:58:14,Leslie_Muse
"Grappling not only with Louis C.K., but sexism and power in comedy https://t.co/4HkhpedgxV https://t.co/mfxp21RI6c","Lexington, Ky.",0.600000023842,-0.600000023842,2017-11-16 09:56:11,Gwenda
