full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
Standing by doing nothing there's a lack of accountability -&gt;  Sarah Silverman breaks her silence on longtime friend Louis C.K. https://t.co/AbLo1tjB7i via @HuffPostEnt,Texas Lifeform,0.5,-0.10000000149,2017-11-18 21:13:57,MalditaT00
"Louis C.K. wasn't fired over jokes.
He was fired because he pulled out his dick, repeatedly, and masturbated in front of women. 
Tell a joke at work, masturbate in front of your boss. See which one gets you fired. https://t.co/NBMYaKK6w1",Born/Raised St. L. In Iowa now,1.0,-0.10000000149,2017-11-18 21:12:28,IowaPeg
@artiequitter They should have just had Louis C.K. Just come out and jerk off.,Sacramento CA.,0.899999976158,-0.40000000596,2017-11-18 21:11:42,AnothaJmoore
No mention of Louis C.K. thus far at #NightOfTooManyStars. Pretty sharp Mel Gibson dig though.,LA/NY,1.10000002384,0.20000000298,2017-11-18 21:10:59,ZeitchikWaPo
Jordan addresses the sexual assault allegations against Louis C.K. and Roy Moore. Watch #TheOpposition at 11:30/10:30c on @ComedyCentral. https://t.co/HsEyW4TMlg,"Queens, NY",0.600000023842,-0.10000000149,2017-11-18 21:09:58,KalThrace
"I think Twitter raised the character count to 280 because we need more characters to list all of the Hollywood perverts:

Weinstein
Charlie Sheen
Kevin Spacey
Ed Westwick
Ben Affleck
Louis C.K.
Gary Goddard
Steven Seagal
Jann Wenner
Matthew Weiner
Sepp Blatter

Out of characters!","Vancouver, British Columbia",0.20000000298,0.0,2017-11-18 21:08:18,Antiestablish84
"#morningjoe In wake of 
Bill Clinton 
Al Gore
Joe Biden
Al Franken
Harvey Weinstein 
Oliver Stone
Ben Affleck
Kevin Spacey 
Charlie Sheen
Louis C.K. 
George Takei 
David Corn
Mark Halperin sexual harassment scandal, thank God we have Dem feminists to fight for women’s rights‼️ https://t.co/R7QMXw0Dye","Vancouver, British Columbia",0.20000000298,-0.10000000149,2017-11-18 21:07:46,Antiestablish84
"Patterns: 

Louis C.K., Kevin Spacey, Al Franken: Admit &amp; Apologize 

Roy Moore, DJ Trump: Deny &amp; Demean https://t.co/Z2HSrAToAT",Chicago IL,0.20000000298,0.0,2017-11-18 21:07:02,ENDOUNO
Why Men Like Louis C.K. Use Masturbation to Assault Women https://t.co/wh0ZSbkLoD via @livestrong_com,"Allen Park, MI",0.699999988079,0.20000000298,2017-11-18 21:04:25,tribble09
Sarah Silverman grapples with the allegations against her friend Louis C.K. https://t.co/ZhEN17danV https://t.co/Clt4iNutjt,"Osawatomie, Kansas",0.10000000149,0.0,2017-11-18 21:04:03,dshollman12
