full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
Louis C.K.’s former manager Dave Becky apologizes for ignoring sexual misconduct: https://t.co/CaxQgw5avP https://t.co/oR6Gxxdn5p,"Newport News, VA",0.600000023842,-0.600000023842,2017-11-13 21:20:00,BonnieD87703006
He signed his victim's fucking yearbook 😵😵 Even Louis C.K. thinks that is brazen. https://t.co/qdk27IKXXE,"Chandler, AZ",0.899999976158,-0.20000000298,2017-11-13 21:19:58,DavidBoyles3
Spotify Stands by Louis C.K. as Comedian Admits Everything,"North Dakota, USA",0.699999988079,0.300000011921,2017-11-13 21:19:43,hhhotness
"John Oliver: Louis C.K.'s new film should be renamed ""Exhibit A if this ever goes to trial"" https://t.co/yuk5Y2kLUO https://t.co/ConvHwsMAI",'Murica,0.0,0.0,2017-11-13 21:18:43,NTosches
"This genre of work, also known as erasure poetry, involves looking at a passage or article and scribbling out words until a sparse poem remains. https://t.co/5aaQu3PzmJ",Ireland,0.20000000298,0.10000000149,2017-11-13 21:18:27,bingobaa
"Louis C.K.'s manager apologized for not confronting him and for not listening to women: ""I am deeply sorry"" https://t.co/wkuMh7cvqI",Buffalo NY,0.800000011921,-0.800000011921,2017-11-13 21:17:40,pearlsbaubles
"Louis C.K.'s manager apologized for not confronting him and for not listening to women: ""I am deeply sorry"" https://t.co/wkuMh7cvqI","Toronto, Ontario, Canada",0.800000011921,-0.800000011921,2017-11-13 21:17:33,MichelleHillie7
Louis C.K.’s former manager Dave Becky apologizes for ignoring sexual misconduct: https://t.co/CaxQgw5avP https://t.co/oR6Gxxdn5p,"Washington, DC",0.600000023842,-0.600000023842,2017-11-13 21:17:25,gloriaminott
Someone's doing damage control. Scumbag. -   Louis C.K.'s Former Manager Apologizes For Silencing Victims https://t.co/V0BEpBbGnq via @jezebel,Texas,1.60000002384,-0.5,2017-11-13 21:17:12,ukuleledan
“Me DidNt kNow wimenZ No LiKe WatCh me SpaNk my PeE PeE hoTdoG aT weRk mE GoInG 2 LeaRn MorE Be DIffErEnt.” -Louis C.K.’s apology,"Atlanta, GA",0.800000011921,-0.40000000596,2017-11-13 21:16:59,amberlrhea
