full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
Bill Burr Thinks Louis C.K ‘Will Definitely Be Back’ After Admitting to Sexual Misconduct: https://t.co/uuVCdY4IYo https://t.co/WzP0hyPqon,"New York, NY",0.0,0.0,2017-11-19 05:11:07,NerdMusicRadio
"Comedian Louis C.K. on sexual misconduct claims: 'These stories are true'
https://t.co/PoTkSywRJh",Born Miami Florida USA In Can ,0.40000000596,-0.10000000149,2017-11-19 05:08:05,BrajkovicDb
Sarah Silverman responds to Louis C.K. https://t.co/v5Zo2KGhNp #blog https://t.co/VDHQDdpMKW,USA,0.20000000298,0.0,2017-11-19 05:07:08,javaeetrainer
"Patterns: 

Louis C.K., Kevin Spacey, Al Franken: Admit &amp; Apologize 

Roy Moore, DJ Trump: Deny &amp; Demean https://t.co/Z2HSrAToAT","Missouri, USA",0.20000000298,0.0,2017-11-19 05:06:17,cmpeacefully
@lenadunham I thought we had enough Louis c.k. apologies for one week,"Vancouver, British Columbia",0.10000000149,0.0,2017-11-19 05:02:09,rorochelle
"How can we make this about meeeee? ""Transgender actress Jen Richards is upset with the fallout of Louis C.K.'s actions after they caused her to lose a groundbreaking role on one of his planned TV shows."" https://t.co/Hl3sYHQrWS",east london,0.800000011921,-0.10000000149,2017-11-19 05:01:22,jaibee007
Bill Burr Thinks Louis C.K ‘Will Definitely Be Back’ After Admitting to Sexual Misconduct: https://t.co/yEx9DFO6ts https://t.co/ql0tjNri8a,"New York, NY",0.0,0.0,2017-11-19 05:00:02,IndieWire
"""I love being a stand-up comic, but we have to address the toxic misogyny in our community that enabled the behavior of Bill Cosby and Louis C.K."" https://t.co/gOGFGheYsR","Chicago, IL",0.300000011921,0.0,2017-11-19 04:59:46,takinyera
"Here's a list of all the people accused of sexual misconduct since the Weinstein bombshell.
We will start with Hollywood:
Harvey Weinstein, John Besh, Louis C.K., Hadrian Belove, Shadie Elnashai, Richard Dreyfuss, Gary Goddard, Andy Henry, Dustin Hoffman, Robert Knepper (/thread)",Vive La Louisianne,0.699999988079,-0.300000011921,2017-11-19 04:47:52,LemonZeringue
Porn Is the Missing Piece in the Louis C.K. Story https://t.co/CbTJzPhfSI via @PublicDiscourse,worldwide,0.800000011921,-0.20000000298,2017-11-19 04:38:55,ladyindoubt
