full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"Latest:  FX Drops Louis C.K. from All Projects, Cancels Overall Deal https://t.co/Ydx14OmFKR #News #MovieTVTechGeeks https://t.co/8NCpRNox0B",Russia,0.600000023842,-0.600000023842,2017-11-15 22:06:14,uazyylfcbbu38
Porn is the Missing Piece in the Louis C.K. Story https://t.co/aAerM7xE9J via @PublicDiscourse,"Brooklyn, NY",0.800000011921,-0.300000011921,2017-11-15 22:06:03,DandiaAsad
"Louis C.K., Roy Moore, and How America Is Reacting to #MeToo https://t.co/f4uwwcJ6zP","Seattle, WA",0.10000000149,0.10000000149,2017-11-15 22:05:09,ClaireM_Music
"Latest:  FX Drops Louis C.K. from All Projects, Cancels Overall Deal https://t.co/Ydx14OmFKR #News #MovieTVTechGeeks https://t.co/8NCpRNox0B","El Sharkia, Egypt",0.600000023842,-0.600000023842,2017-11-15 22:04:50,lenorac61669229
"If you’re wondering if Louis C.K.’s career is over, quick reminder that this was 7 years ago and now this guy is starring in #DaddysHome2 out this weekend. https://t.co/T9DhnVfuvH","Atlanta, GA",0.800000011921,0.40000000596,2017-11-15 22:04:04,ansleythehogg
what in the hell happened to the men in our country to lower their tolerance levels and feel this crap was okay at the time? #LouisCK #metoo https://t.co/Rl4acSCvQC #onlylove,"Ankara, Türkiye",0.899999976158,-0.300000011921,2017-11-15 22:02:43,gefobvyqftyayt1
"Latest:  FX Drops Louis C.K. from All Projects, Cancels Overall Deal https://t.co/Ydx14OmFKR #News #MovieTVTechGeeks https://t.co/8NCpRNox0B","Ankara, Türkiye",0.600000023842,-0.600000023842,2017-11-15 22:02:09,gefobvyqftyayt1
Joey Diaz on Louis C.K. https://t.co/k5nnRGSGCS https://t.co/dsHgF0svbj,San Francisco,0.10000000149,0.0,2017-11-15 22:01:07,restless94110
Louis C.K. is in deep shit https://t.co/3mF7vNhSXY,New York City,0.40000000596,-0.40000000596,2017-11-15 22:00:04,FilmFatalesNYC
"I don't have Netflix, and I've never been into Louis C.K., so I have no idea what this guy is talking about. https://t.co/LFBVLVBOSB",Steinbeck Country,0.300000011921,0.0,2017-11-15 21:59:29,Axxman300
