full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"""If Weinstein and Mark Halperin and Louis C. K. and all the rest can be held accountable, so can our former president and so can his party, which so many Americans so desperately need to rise again."" For the #DNC, #UniteBlue #BillClinton give yourself up. https://t.co/p9ljnISp5j","Bartlesville, Oklahoma, USA",0.5,0.10000000149,2017-11-14 18:20:00,jimwlea
Jon Stewart Says He Was 'Stunned' At The Sexual Misconduct Accusations About His Friend Louis C.K. https://t.co/qFlhpM1amN,Trinidad and Tobago⛅,0.20000000298,0.0,2017-11-14 18:19:58,chriskaboo
"This is the first part of what @marcmaron had to say on @wtfpod about his friend, Louis C.K. Every word is worth the read: https://t.co/WXyUZIzrg1",Coast Salish Territory,0.5,0.20000000298,2017-11-14 18:19:54,mixolos
This is a big NO from me!! Mayyyyybe Louis C.K. But neither of these two monsters!! https://t.co/9fMSpmMClu,Madrid,0.699999988079,-0.10000000149,2017-11-14 18:19:39,Yolanduska
Tiffany Haddish lights up Louis C.K. in blistering 'SNL' monologue https://t.co/OBbZI6B8Fw https://t.co/225ftjaGas,Northeast Ohio. ,0.5,-0.5,2017-11-14 18:19:29,PlttyBuenoPWK
This Poet Turned Louis C.K.’s Harassment Apology Into A Powerful Poem h/t @jeanneobbard https://t.co/5HvfhpclWF,"New York, NY",0.40000000596,0.40000000596,2017-11-14 18:19:12,clarityhaynes
"He's enabler-belittle's women #MeToo #HIMTHOUGH ⚡ Jon Stewart felt 'anger' when he heard about Louis C.K.'s actions

https://t.co/ltXrTJdZgR",Hogsmeade & The Burrow,0.300000011921,0.10000000149,2017-11-14 18:18:56,PuttaTweets
"louis c.k.: n word
crowd: yeeeeey
louis c.k.: yeah..... you get it.... you guys are cool",main:@jhuliecostanza | she/her,0.800000011921,0.800000011921,2017-11-14 18:18:39,jhuIie
#CBC: “Louis C.K.’s ex-manager ‘extremely sorry’ for not taking complaints about comedian more seriously – Entertainment” https://t.co/uRfYIC7Zbi #Canada #Burundi @JCNsengiyumva https://t.co/Y2bVcFwO8e,"157 Adelaide St W, Toronto, ON",0.0,0.0,2017-11-14 18:18:05,YohanesTech
"Latest:  FX Drops Louis C.K. from All Projects, Cancels Overall Deal https://t.co/Ydx14OmFKR #News #MovieTVTechGeeks https://t.co/8NCpRNox0B","Pudukkottai, India",0.600000023842,-0.600000023842,2017-11-14 18:17:11,idvezpydp2183
