full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"""He was a gentleman to me, which speaks to the blindness a man has.""

Jon Stewart on the Louis C.K. scandal. https://t.co/fiMGYLV9x9",Gravity Falls,0.5,0.10000000149,2017-11-14 09:20:10,diegocinefilo
Jon Stewart: I Was 'Stunned' by Louis C.K. Scandal https://t.co/1yQsjaeHYn,"Bismarck, North Dakota",0.300000011921,0.10000000149,2017-11-14 09:20:05,KFYRTV
"Front Row Filmed Entertainment on dropping Louis C.K.'s movie: ""Releasing the film would mean condoning this type of behavior"" https://t.co/RgdZ191HJu","Krakow, Poland",0.10000000149,0.10000000149,2017-11-14 09:19:10,TheRealSoup
"""I’m tired of trying to explain why none of this is sex. Why it hurts the way violence hurts” — @lizmeriwether on Louis C.K. and America’s epidemic https://t.co/LyWax3Q8BA","Toronto, Ontario",0.899999976158,-0.40000000596,2017-11-14 09:18:40,kilmosnaps
"Saturday Night Live is part of the problem!
#SNL #hollywoodgate 
Nolte - Alec Baldwin and Louis C.K.: 'Saturday Night Live' Is Part of the Problem https://t.co/0GkfXApAIw via @BreitbartNews",United States,0.300000011921,0.10000000149,2017-11-14 09:18:31,nationstatenews
"""I’m tired of trying to explain why none of this is sex. Why it hurts the way violence hurts” — @lizmeriwether on Louis C.K. and America’s epidemic https://t.co/LyWax3Q8BA",Washington DC & Arizona Desert,0.899999976158,-0.40000000596,2017-11-14 09:18:24,rkfatheree
New doc on Minneapolis's @AcmeComedyCo is riveting -- but it's got a Louis C.K. problem: https://t.co/SKd8t7Nsx0 https://t.co/ejmTAIy3Uc,Minneapolis,0.600000023842,0.20000000298,2017-11-14 09:18:01,nealjustin
Jon Stewart Is ‘Stunned’ by Allegations Against Friend Louis C.K.: ‘Did I Miss Something?’ https://t.co/wejZ6YcJvG https://t.co/GIWWsfzAFV,"Las Vegas, NV",0.300000011921,0.10000000149,2017-11-14 09:17:47,RazzleTazzleMag
"Front Row Filmed Entertainment on dropping Louis C.K.'s movie: ""Releasing the film would mean condoning this type of behavior"" https://t.co/RgdZ191HJu","Hollywood, CA",0.10000000149,0.10000000149,2017-11-14 09:17:44,THR
"In Louis C.K.’s #ILoveYouDaddy, what appears to be fearless artistry is in fact an exceptional act of manipulation. 
@melvillmatic: https://t.co/bvKqr7XlLK","Fort Lauderdale, FL",0.699999988079,0.300000011921,2017-11-14 09:17:42,hottakeharry
