full_text,location,sentiment_magnitude,sentiment_score,time_stamp,user
"Anthony Weiner is in prison. Bill Clinton was impeached. Bill O'Reilly, Roger Ailes, Harvey Weinstein, Kevin Spacey &amp; Mark Halperin were fired. Al Franken and Charlie Rose apologized. Glenn Thrush was suspended. Louis C.K. was canceled. When will Donald Trump be held accountable?",San Francisco,0.40000000596,0.0,2017-11-22 02:14:03,TweetyLolita
"So let's recap shall we:
Charlie Rose - Suspended
Glenn Thrush - Suspended
Franken - Investigation
Jeffrey Tambor - Left 'Transparent'
Brett Ratner - Left WBros
Louis C.K. - Cancelled
Kevin Spacey - Suspended/kicked off movie
Weinstein - Fired

Trump - Still F*****G President","memphis, tn",1.5,-0.5,2017-11-22 02:13:31,mta38128
"So let's recap shall we:
Charlie Rose - Suspended
Glenn Thrush - Suspended
Franken - Investigation
Jeffrey Tambor - Left 'Transparent'
Brett Ratner - Left WBros
Louis C.K. - Cancelled
Kevin Spacey - Suspended/kicked off movie
Weinstein - Fired

Trump - Still F*****G President",All tha Way Up,1.5,-0.5,2017-11-22 02:13:08,TheBaddActress
"Anthony Weiner is in prison. Bill Clinton was impeached. Bill O'Reilly, Roger Ailes, Harvey Weinstein, Kevin Spacey &amp; Mark Halperin were fired. Al Franken and Charlie Rose apologized. Glenn Thrush was suspended. Louis C.K. was canceled. When will Donald Trump be held accountable?",Los Angeles,0.40000000596,0.0,2017-11-22 02:12:15,LipstickCoCo
"Anthony Weiner is in prison. Bill Clinton was impeached. Bill O'Reilly, Roger Ailes, Harvey Weinstein, Kevin Spacey &amp; Mark Halperin were fired. Al Franken and Charlie Rose apologized. Glenn Thrush was suspended. Louis C.K. was canceled. When will Donald Trump be held accountable?","Rio Rancho, NM",0.40000000596,0.0,2017-11-22 02:11:56,mariawhite10665
"Anthony Weiner is in prison. Bill Clinton was impeached. Bill O'Reilly, Roger Ailes, Harvey Weinstein, Kevin Spacey &amp; Mark Halperin were fired. Al Franken and Charlie Rose apologized. Glenn Thrush was suspended. Louis C.K. was canceled. When will Donald Trump be held accountable?","New York, NY",0.40000000596,0.0,2017-11-22 02:11:28,yvonnepotter
"Anthony Weiner is in prison. Bill Clinton was impeached. Bill O'Reilly, Roger Ailes, Harvey Weinstein, Kevin Spacey &amp; Mark Halperin were fired. Al Franken and Charlie Rose apologized. Glenn Thrush was suspended. Louis C.K. was canceled. When will Donald Trump be held accountable?","memphis, tn",0.40000000596,0.0,2017-11-22 02:10:59,mta38128
"a de alive 
b de baixinho/louis
c de clouds 
d de diana
e de end of the day
f de fool's gold 
g de gucci
h de harry
i de infinity 
j de just like you 
k de kiss you
l de de liam 
m de miss you
n de niall 
o de one direction 
p de pausa 
q de queria ir pro show 
r de rock me","Minas Gerais, Brasil",0.5,0.5,2017-11-22 02:10:42,adidasxlwtsx
"Anthony Weiner is in prison. Bill Clinton was impeached. Bill O'Reilly, Roger Ailes, Harvey Weinstein, Kevin Spacey &amp; Mark Halperin were fired. Al Franken and Charlie Rose apologized. Glenn Thrush was suspended. Louis C.K. was canceled. When will Donald Trump be held accountable?",Everywhere,0.40000000596,0.0,2017-11-22 02:10:38,globalnomadg5
"Anthony Weiner is in prison. Bill Clinton was impeached. Bill O'Reilly, Roger Ailes, Harvey Weinstein, Kevin Spacey &amp; Mark Halperin were fired. Al Franken and Charlie Rose apologized. Glenn Thrush was suspended. Louis C.K. was canceled. When will Donald Trump be held accountable?",Beneath the Silver Moon,0.40000000596,0.0,2017-11-22 02:10:05,WildNightWishes
